Country/Region,Population,Area,Latest,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
US New Hampshire,1359711,23187,5306,390.2299826949,0.2825948019,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4.5,5,5.5,6,6.5,7,13,15,17,24,37,42,53,61,73.5,96,102.5,131,151.5,180,201,299,347.5,389,408,435,485,556,591,614,680,666.5,661,698,715,671,655.5,724,766,808,774.5,721,723,776,751.5,784.5,851,835,858,879,918,871,841,859,995.5,1087,1196,1121,1096.5,1152,1173,1227,1224,1296,1261.5,1229,1245,1318,1200,1127,1008,1040,1085,1128,1092,1142,1108,989,997.5,992,987,922,982,989,1055,1033,1028,927,941,930,912,894,882,901,892,823,759,754,694,669.5,615,641,574,467,487,501,479,439,420,462,443,418,415,416.5,418,366,372,371,359,353,356,361,354,302,297,307,294,297,309,311,343,327,326,329,335,330,343,345,424,412,414,432,415.5,400,379,429,420.5,408,411,431,424,424,403,395,372,361,380.5,408,406.5,367,364.5,370,357,343,331,329,274,276,294,289,272,273,265.5,266,266,271,280,286,297,297,332,340,342,344,374.5,379,404,406,442,439,451,458,467,493,496,500,476,496,473.5,471,462.5,469,476,494,485,486,503,673,677,698,728,741,793,834,902.5,971,945.5,935,1046,1083,1109,980,1028,1049,1066,1097,1117,1116,1127,1146,1210.5,1254,1252,1292,1342,1370,1459,1520,1574,1620,1646,1814,1900,2003,2160,2302,2388,2507,2702,3045,3227,3457,3709,3855,4186,4469,4785,5040,5110,5343,5463,5628,5306
US New Jersey,8882190,19047,55392,623.629983146,0.1718231393,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,11,15,23,29,49,73,96,176,263,420,729,874,1305,1885,2804,3615,4321,6768,8685,10933,13169,16370,18332,21780,24848,29005,32797,35591,38246,40741,43035,44151,45763,47027,48464,47948,50128,48775,49727,48572,47296,47796,47716,47971,48428,48962,47608,47372,47188,46604,45032,45234,43335,42723,42297,41443,39463,38206,36025,33646,33258,31562,29494,28757,26887,25296,24052,22715,21372,19590,19770,18420,18509,17837,17265,16019,15622,15147,15021,15068,15111,14939,14519,14111,12879,12532,11669,11058,10617,10789,10010,9405,9032,8718,8001,7320,6997,6436,6185,5881,5635,5577,5160,4941,4978,4918,4938,4546,4380,4420,4268,4301,4169,4241,4225,4249,4246,4199,4260,4196,4144,4147,4044,4044,4086,4116,4250,4248,4350,4145,3809,3781,3381,3352,3378,3606,3647,3717,3899,4065,4290,4380,4488,4469,5109,5215,5567,5651,5714,5682,5814,5716,5571,5410,5219,5180,5172,5624,5504,5413,5105,5153,5128,5100,4826,4756,4807,4721,4688,4546,4368,4019,3807,3878,4156,4193,4192,4168,4446,4605,4511,4564,4671,4646,4684,4801,4917,5017,5023,5008,5114,5197,5388,5426,5562,5704,5764,5913,5998,6138,6212,6513,6914,7139,7159,7483,7528,7781,8267,8440,8559,8762,8862,9596,9913,10027,10080,9990,10522,10748,11105,11175,11162,11811,12492,12851,13373,13237,13417,14462,14840,15587,16246,16974,17553,18719,19148,19616,19792,20632,22034,22834,23950,25243,26127,26969,29099,30498,32439,33860,36850,39645,40496,42694,44305,46525,47990,49457,51412,52935,53433,54410,55392
US New Mexico,2096829,314161,29020,1383.9945937413,0.3231769789,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,11.5,13,17,23,28,35,43,57,61,65,83,97,107,126,179.5,224,242,258,287,328,360,438,482,559,603,694,753,955,941.5,937,986,1064,1092,1121,1194,1216,1255,1221,1285,1278,1345,1288,1388.5,1486,1481,1478,1567,1729,1814,1802,1934,2005,2060,2066,2081,2114,2152,2118,2137,2246,2238,2151,2092,2149,2115,2088,2065,2054,2026,1979,1952,2017,2080,1957,1918,1888,1861,1831,1777,1751,1704,1832,1823,1881,2047,2005,1997,2036,1975,1998,2003,2033,1997,2034,2045,1909,1925,1800,1588,1630,1625,1632,1733,1740,1825,1882,1998,2086,2137,2214,2211,2367,2516,2633,2691,2813,2889,3027,3059,3141,3154,3219,3309,3367,3565,3618,3680,3673,3715,3708,3790,3811,3912,3926,4015,4014,4211,4277,4295,4250,4144,4060,4045,3915,3823,3738,3610,3490,3327,3273,2942,2852,2680,2599,2560,2506,2392,2370,2239,2183,2178,2130,2187,2081,2025,1892,1916,1933,1882,1876,1875,1852,1881,1863,1861,1807,1746,1711,1675,1646,1536,1509,1521,1483,1478,1490,1463,1429,1387,1448,1464,1472,1539,1609,1719,1795,1924,2031,2083,2143,2234,2394,2462,2650,2784,2898,2949,3157,3385,3532,3754,4030,4139,4377,4556,4855,5297,5770,6047,6311,6670,6949,7343,7621,7927,8318,8880,9224,9456,9536,9946,10139,10147,10444,10802,11344,11536,11733,12226,12631,13018,13703,14378,15208,15872,16097,16681,16969,17350,18319,20200,23006,24704,25769,27015,27859,28700,29068,29020
US New York,19453561,122057,74437,382.6394560872,0.1200211545,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,25,36,60,88,151,195,251,353,517,645,935,1367,2371,4140,7067,10312,15054,20761,25455,30525,36873,44118,51590,58548,65279,74245,81329,88229,95761,103348,106863,109814,113198,118506,122679,125875,128140,129181,128534,126413,130067,129903,126779,123028,120755,116823,112827,107900,103523,101078,101685,99351,96965,92898,85912,82088,78672,76245,73629,71441,69502,66762,64009,58817,50979,47350,45059,43379,40970,38679,37499,35255,33706,32418,31653,30392,28989,27747,26804,26120,25709,25351,24304,23682,22471,21428,20649,20340,20195,19715,18675,18054,17390,16582,16035,15646,15191,14159,13430,12970,12554,12233,11535,11057,10627,10348,9956,9839,9689,9603,9510,9523,9506,9293,9215,8986,8879,8937,9194,9316,9326,9195,9161,9152,9263,9098,9079,9106,9167,9333,9721,9927,9821,9679,9707,9676,9677,9944,9957,10184,10151,10171,10030,10081,9703,9587,9595,9463,9462,9491,9517,9408,9339,9231,9192,9145,9124,8992,9125,9110,9070,9153,9134,9210,9073,8982,8977,8875,8870,8820,8877,8809,8771,8637,8691,8600,8501,8592,8840,8939,9016,9304,9459,9607,9764,9876,9804,9814,9780,10024,10238,10265,10192,10204,10148,10155,10081,10266,10399,10452,10649,10738,10936,10964,11120,11261,11512,11935,12283,12769,13577,14322,14682,15042,15681,16376,17257,17941,18383,18660,18855,19059,19291,19369,19478,19531,19699,19764,19572,20238,20030,20075,20689,21178,21340,21938,22737,23776,24324,24589,25454,26089,27209,27309,28678,30250,31776,33572,35525,37499,40288,42586,45732,49071,50465,52322,55089,58257,60570,62829,65214,67178,69940,70856,72301,74437
US North Carolina,10488084,125920,43052,410.4848893277,0.1242460448,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,7,9.5,12,15,23,32,33,40,62,96,135,182,253,295,391,494.5,624,748,912,1008,1274,1458,1521,1760,1956,2218,2330,2573,2823,2922,3015,3145,3377,3480,3509,3526,3539,3608,3766,3738,3908,3894,3730,3794,3957,4144,4311,4310,4326,4544,4825,5044,5064,5369,5171,5084,5305,5538,5789,5816,5737,5934,5903,5778,5868,5998,6206,6473,6848,7175,7444,7364,7463,7750,8365,8458,8919,8794,8812,8905,9359,9691,10077,10240,10189,10655,11106,11637,11900,12324,12520,13020,13543,14069,14761,15003,15530,15839,15964,16078,16222,16585,16764,17255,17121,17293,18003,17702,17569,17861,18023,18382,18817,19658,19954,20401,20265,20182,20924,21422,21136,22166,22513,23256,23559,24044,24814,24753,25284,25236,26304,26795,26517,26986,27691,27544,27664,27299,27012,26810,26603,26584,26768,26671,25920,25441,25486,25300,24287,24374,23817,23674,23505,22506,21808,21211,20630,20022,19828,19733,18984,18618,18644,18637,19100,18875,18895,19552,19846,19924,20252,20321,21370,21175,21797,22645,22621,22305,22342,22174,21788,21523,20894,20547,19678,19795,18664,18809,18468,17463,17471,17367,16765,16433,16680,16462,16914,16969,17435,22045,22350,22444,22467,22250,22608,23333,23665,24638,23915,25373,25709,26468,27208,23100,23662,24091,24499,25344,25775,26030,26939,26839,28532,27418,27492,27623,27595,28277,28540,28628,28995,29402,29729,30082,30207,30910,30664,30856,31627,32210,32669,32861,32953,33240,33118,33559,34425,34433,33403,34483,35543,36179,37118,38060,39497,40277,41016,43436,44334,44852,45945,43052
US North Dakota,762062,178711,17269,2266.0885859681,0.2259098401,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,15,20,28,29,30,33,39,51,60,79,96,105,114,133,144,153,158,178,195,204,212,217,217,213,211,224,224,225,233,265,342,377,401,407,426,440,469,510,559,611,650,669,675,669,625,607,599,622,645,662,677,661,623,574,577,609,642,653,694,707,704,723,748,794,811,820,848,862,853,796,770,759,706,678,694,656,608,539,509,531,521,500,479,502,499,495,503,502,477,478,484,487,479,433,426,432,417,418,412,404,399,412,436,451,451,465,496,528,527,535,579,611,678,734,785,841,897,913,946,1006,1065,1124,1201,1275,1306,1392,1418,1456,1489,1538,1548,1645,1662,1632,1677,1693,1636,1656,1723,1686,1683,1710,1769,1720,1725,1745,1743,1870,1855,1846,1933,1865,1850,1916,2068,2150,2226,2274,2283,2346,2493,2626,2786,3036,3114,3169,3229,3307,3392,3503,3603,3763,3808,3649,3653,3653,3582,3676,3881,4021,4060,4063,4094,4259,4280,4332,4447,4636,4871,5008,5201,5229,5147,5152,5337,5513,5495,5464,5527,5592,5618,5856,5876,5933,6155,6248,6541,6754,6844,7101,7435,7823,8127,8428,8775,9302,9308,9668,9899,10246,10454,10504,10885,10960,11477,11966,12655,13065,13378,13521,14136,14785,15663,16330,16586,17217,17212,17466,18043,18119,18956,18753,18870,18780,18929,18775,18414,18336,18378,17939,18059,18105,17269
US Ohio,11689100,105829,108286,926.3844094071,0.2829209156,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,13,24.5,36,50,67,88,119,168,244,348,436,556,694,852,1118,1381,1617,1883,2132,2459,2783,3143,3492,3692,4008,4218,4444,4645,4741,4844,4951,5042,5081,5244,5512,5795,6483,7559,8469,8943,8969,9182,9291,9337,9359,9350,9489,9512,9613,9636,9113,8312,7555,7244,7459,7437,7847,8110,8118,8452,8481,8418,8330,8211,8139,8009,7980,7983,7860,8036,7778,7711,7830,7700,7756,7718,7558,7612,7560,7590,7530,7398,7356,7115,6964,6703,6565,6360,6156,6136,6089,5858,5814,5635,5592,5660,5630,5840,5973,6151,6332,6700,6965,7184,7647,8214,8607,9161,9470,9779,10443,11044,11526,11921,12343,12419,12777,13422,13680,14218,14759,15283,15807,16206,16446,16435,17023,17639,17781,18212,18311,18561,18855,18890,18970,18481,18324,18502,18582,19025,18879,18265,18099,17795,17891,17563,17285,16929,16785,16775,16554,16329,16355,15800,15398,15587,15256,15099,14817,14576,14532,14371,14196,13954,13920,13669,13336,13402,13567,13666,13975,14095,14687,14886,15109,15398,15620,15756,15685,15497,15381,15258,15202,15228,15143,15327,14875,14751,14473,14152,13762,13751,13829,13858,13788,13658,13568,13441,13404,13318,13422,13469,13729,14213,14419,14598,14799,15449,15970,16518,17208,17449,17940,18377,18719,19678,20529,21182,22259,22880,23660,24340,25282,26168,26846,28348,29366,30052,31114,31682,33094,34791,35472,37213,38285,40499,42204,44740,47230,49921,52153,54743,58742,62009,65520,69746,74546,79096,83455,86305,88619,91445,95245,97559,101151,108330,110426,115387,108286
US Oklahoma,3956971,177660,39651,1002.0543491474,0.2150947695,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,9,10,17,29,43,48,52,65,79,103,159,241,314,362,413,464,542,689,835,939,1106,1185,1246,1366,1360,1436,1472,1491,1541,1588,1619,1544,1478,1477,1411,1347,1353,1335,1370,1333,1327,1325,1283,1211,1226,1210,1261,1283,1281,1373,1364,1320,1307,1313,1303,1297,1336,1333,1322,1379,1344,1338,1386,1338,1354,1362,1331,1350,1425,1470,1448,1477,1405,1377,1308,1252,1181,1196,1175,1203,1273,1227,1106,1043,1113,1115,1226,1251,1356,1510,1655,1725,1844,1953,2099,2447,2751,3034,3365,3528,3665,4030,4322,4495,4569,4713,4755,5112,5208,5185,5359,5608,5413,5629,6192,6383,6548,6749,7137,7291,7573,7981,8701,8902,9075,9411,9337,9071,9106,9408,9473,10024,10302,11050,11941,12037,11810,12299,12347,12675,12960,13169,13137,13263,13432,13139,12999,12281,11277,10953,10775,10363,10410,10067,10117,10109,9863,9359,9268,9491,9519,9599,9559,9444,9440,9447,9363,9555,9678,10022,10073,10195,10358,10294,10588,10442,10698,10881,11091,11150,11382,11306,11334,11490,11915,12166,12291,12527,12617,13200,13688,14019,14232,14544,14878,14851,14998,14971,14905,14915,15051,14992,14944,14510,14074,14274,14191,14320,14568,15111,15035,14990,15274,15416,15467,15749,15755,15982,16091,16202,16503,16919,16768,17064,17349,17215,16916,16537,16357,16187,16259,16812,17122,16978,16917,17390,17895,18319.5,19522,21056,21748,23182,24498,25863,27443,30017,31662,31882,33653,34467,35510,36919.5,38072,39419,40453,42008,39651
US Oregon,4217737,248608,16127,382.3614416925,0.2303659686,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,14,14.5,15,19,24.5,30,33,36,39,47,72,85,111,130.5,147,176.5,194,249,302.5,384,446,512,567,643,661,738,785,861.5,907,941,972,971,994,932,892,979,978,943,927,910,886,845,842,824,821,820,806,831,882,784,770,767,783,774,794,791,770,803,837,857,862,891,907,917,932,951,970,969,962,977,943,928,887,885,828,796,728,699,663,616,622,607,590,573,620,615,609,598,657,706,774,881,973,1021,1022,1151,1246,1350,1393,1518,1763,1819,1892,2002,2088,2129,2161,2286,2384,2331,2441,2559,2705,2665,2558,2713,2928,3064,3180,3293,3312,3331,3373,3620,3636,3757,3829,3953,4149,4150,4215,4166,4219,4349,4452,4534,4576,4525,4650,4641,4588,4650,4611,4640,4622,4690,4668,4518,4519,4560,4586,4512,4532,4518,4514,4400,4358,4301,4169,4121,4201,4165,4085,3977,3891,3940,3785,3700,3665,3667,3617,3549,3461,3441,3275,3292,3262,3270,3205,3171,3180,3146,3107,3035,2964,2900,2893,2811,2863,2783,2771,2716,2775,2760,2741,2743,2757,2805,2958,3032,3211,3449,3425,3483,3510,3629,3659,3766,3821,3912,3969,4054,4027,4131,4251,4212,4354,4442,4473,4489,4651,4663,4772,4805,4762,4745,4796,4809,4694,4822,4804,4839,4969,5028,5068,5268,5454,5605,5897,6184,6324,6606,7029,7260,7848,8347,8719,9101,9542,10086,10548,11097,11451,11668,12110,12620,13034,13567,14081,14722,15178,15424,15733,16127
US Pennsylvania,12801989,115883,87398,682.6907912513,0.2599166107,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,12,16,22,41,47,63,76,96,132,184,266,367,473,634,839,1111,1665,2177,2704,3331,4011,4747,5672,6831,8152,9646,11031,12336,13708,15112,16541,17761,18904,19439,20112,20502,20685,20719,21021,21052,20774,20252,19969,19445,18825,18673,18394,18332,17851,17919,17876,18028,17530,17236,16983,16860,16429,16161,15862,15586,15267,15446,15104,14727,14332,13873,13651,13306,12967,12964,12709,12684,12477,12020,11667,11102,11032,10646,10719,10406,10717,10420,10312,9842,9844,9493,9168,8747,8723,8499,8377,8419,8049,7891,6660,6431,6252,6223,5973,5796,5676,5757,5560,5518,5623,5640,5725,5837,6371,6471,6698,6867,7123,7424,7838,7979,8109,8124,8118,8603,8957,9097,9506,9756,9770,9754,10065,10423,10372,10737,10866,11173,11434,11466,11248,11491,11695,11936,12159,12522,12713,12553,12632,12570,12695,12563,12417,12244,12318,12163,11708,11467,11427,11189,10897,10912,11043,10902,10864,10870,10689,10570,10435,10419,10354,10337,10196,10021,9754,9406,9035,9041,9034,9044,9181,9216,9462,9831,10029,10196,10268,10389,10324,10754,10721,10894,10971,10377,11038,11419,11379,11152,11021,11220,11262,10949,11287,11254,11520,11318,11427,12269,11763,11600,11977,12200,12601,12564.5,12957,13395,13597,14008,14531,15105,15818,16066,16478,16832,16955,17397,17802,18533.5,18677,19108,19629,19745,20432,21271,21572,22072,22391,23800,24752,25356,26431,27084,27724,28681,29999,31369,32206,33371,35363,36606,38601,40211,42694,45980,48870,51911,55201,57617,60642,64186,68412,71836,74579,78745,80105,82413,84461,87398
US Puerto Rico,3193694,8868,8774,274.7288876142,0.1782391419,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.25,9.5,11.75,14,21,22,29,37,49,62,76,97,122,168,231,275,304,363,431,452,482,534,569,619,646,688,770,729,684,688,727,690,666,738,739,725,295,210,146,90,-6,-8,-25,-70,-88,-104,-145,-225,-251,-293,91,120,158,156,149,159,164,160,118,124,141,159,194,202,200,200,192,836,190,186,179,196,207,205,186,157,109.5,98,107,109,109,-510,134,133,145,142,123,150,160,167,172.5,174,173,174,169,171,169,167,164,175,176,140,142,153,161,214,243,271,292,286,313,531,597,594,656,768,833,959,1173,1211,1314,1352,1481,1644,1945,1940,2108,2159,2339,2443,2607,2653,2605,2681,2657,2801,2725,3082,3044,3102,3158,3354,3250,3436,3531,3698,3903,4020,4469,4359,4733,4526,4416,4610,4958,4768,4752,4784,4709,4543,4603,4387,3841,4190,3996,3917,3978,3753,3213,3490,3493,3087,2961,2792,2770,2796,2779,2779,2631,2612,2540,2501,2622,2310,2565,3012,3564,3800,3619,3611,3650,3908,4511,4566,4928,5380,5595,5748,5542,5392,4997,4965,5086,5236,5219,4854,4458,4394,4079,3647,3338,3629,3771,3669,3489,3677,3741,3950,4059,3794,4630,4514,4961,5194,5322,4898,5332,5679,5845,5830,6267,6165,6090,6297,5948,6495,6363,6383,6395,6593,7173,7266,7634,7938,7611,7835,8103,8330,8431,8867,9359,9619,9692,9605,8774
US Rhode Island,1059361,2678,11553,1090.5630847275,0.2208268823,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,5,9,13,19,19.5,18,20,31,42,58,71,85,110,125,143,167,204,229,292.5,397,473,535,624,669,757,880,1037,1227,1469,1714,1952,2325,2541,2725,2834,3028,3235,3565,3754,3900,4057,4229,4355,4464,4604,4615,4640,4627,4643,4700,4765,4721,4748,4654,4496,4409,4325,4285,4137,3953,3934,3844,3816,3711,3535,3415,3330,3393,3337,3183,3095,2940,2838,2808,2630,2528,2423,2358,2295,2199,2145,1997,1948,1910,1802,1720,1668,1572,1532,1497,1472,1386,1357,1312,1215,1160,1116,1093,1038,984,938,892,860,838,852,861,808,766,754,741,731,691,679,693,681,644,635,632,628,592,560.5,535,535,557.3333333333,593.6666666667,616,677,664,676,736,746,759,741,782,838.5,905,912,950.6666666667,989.3333333333,1028,1137,1160,1239,1229,1266.6666666667,1304.3333333333,1342,1404,1419,1463,1514,1511,1488,1419,1328,1329,1290,1313,1342.3333333333,1342.6666666667,1326,1302,1314,1260,1284,1343,1357,1368,1319,1325,1349,1348,1418,1389,1377,1310,1283,1272,1221,1309,1256,1270,1220,1222,1193,1222,1142,1195,1181,1248,1280,1345,1377,1314,1361,1360,1452,1501,1529,1276,1285,1300,1294,1306,1390,1426,1456,1447,1489,1487,1552,1599,1734,2113,2296,2352,2407,2404,2416,2524,2615,2733,2893,2928,3053,3347,3549,3824,4003,4107,4193,4485,4780,4874,5183,5430,5626,5773,5894,5999,6156,6262,6592,6886,6985,7353,7832,8452,8655,9355,9554,9803,9985,10789,11201,11621,12231,12401,12564,12626,12541,11553
