Country/Region,Population,Area,Latest,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
US South Carolina,5148714,77857,20415,396.5067781974,0.0967971362,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,8,9,10,12,13,19,27,32,59,69.5,80,150,192,291,353,415,446,485.5,526,755,897,1050,1233,1483.5,1654.5,1765,1854,1935,2056,2128,2336,2567.5,2668,2545,2511,2470,2363,2239.5,2195.5,2329,2328,2175,2022,2209,2125,2020,2046,2171,2115.5,2060,2225,2301.5,2327,2243,2249,2283.5,2318,2175,2122,2057,2278,2163,2238.5,2314,2177,2094,2149,2122.5,2190,2250.5,2299,2179.5,2136,2496,2364,2443,2388,2489,2565,2599,2724,2782.5,3045,3206,3359,3535.5,3830,3815,4021,4190,4622,4812,5136,5653,6039,6561,6934,7230,7575,7905,8543,9178,9870,10407,10901,11385,12138,12581,13165,13984,14525,15266,16409,17363,18153,18901,19600,20154,20679,20739,21012,21669,22084,22760,23328,23524,23990,24326,24382,24528,24226,25139,25065,25985,26133,25915,26188,25309,24551,24249,23720,23601,23489,22956,22987,21802,21506,20853,20430,20191,19612,19452,19236,18742,18021,17128,16337,15825,15283,14709,14002,13482,12939,12523,12159,11835,11553,11392,11358,11119,10689,11110,11367,11827,12039,12174,12092,12376,12947,12994,12964,13056,12420,12120,11994,13095,12729,13540,13688,13624,13619,13750,12993,12951,12756,12517,14881,15473,16115,14856,15295,14023,13775,14164,13820,12877,12867,13651,13874,14035,12181,12019,12048,11774,11348,11519,11600,11249,11867,12783,13068,12323,12408,12450,12523,12652,12730,12873,12720,13272,13446,13696,13682,13485,13341,13398,14033,14308,14459,14513,14154,14323,15401,15010,14890,15159,15504,15899,16507,17402,17484,17700,17948,18577,19521,20289,20276,20607,21161,21492,21910,20415
US South Dakota,884659,196350,15426,1743.7227225405,0.2025951512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,9.3333333333,9.6666666667,10,11,11,12,13,16.5,20,27,29,36,38,49,58.6666666667,80.3333333333,91,97,117,152,173,194.5,219,260,290,352,401,478,558,640,767,880,1039,1146,1224,1330,1395,1397,1435,1465,1509,1504,1521,1482,1377,1325,1205,1138,1114,1046,996,983,966,921,949,1104,1246,1305,1369,1350,1359,1343,1362,1371,1356,1359,1364,1398,1345,1212,1075,1046,972,990,978,1001,979,1001,1006,1007,982,985,997,921,899,875,885,870,894,872,876,873,905,894,899,888,862,881,858,859,855,830,815,814,793,793,783,788,798,776,784,820,803,766,779,810,823,857,866,828,818,808,808,826,801,811,834,843,838,856,835,807,799,851,896,920,920,989,991,975,1005,1049,1077,1060,1091,1130,1171,1172,1210,1219,1221,1174,1212,1260,1251,1319,1340,1364,1398,1418,1513,1658,1671,1762,1846,2036,2297,2493,2824,3048,3149,3306,3437,3646,3712,3754,3833,3875,3844,3720,3640,3600,3495,3316,3292,3245,3288,3349,3479,3555,3587,3569,3786,4063,4263,4437,4696,4903,4937,5003,5098,5450,5447,5542,5722,5729,5687,6272,6314,6661,6814,7023,7187,7342,7826,7876,8283,8625,8851,9238,9581,9138,9606,9987,10194,10639,10816,11391,11785,11988,12754,13381,14055,14014,14397,14747,15134,15437,15835,16201,16570,16604,16696,17716,17768,18190,18057,18428,18430,18880,18591,18431,18238,17661,17537,17525,17446,15426
US Tennessee,6829174,106798,55651,814.9008943102,0.1579307331,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,12.5,18,26,32,39,52,73,98,153,227,370,502,612,660,771.5,939,1177,1341,1498,1782,2166,2585,2691,2839,2950,3128,3187,3471,3578,3677,3659,3741,3771,3776,3584,3396,3417,3522,3441,3437,3436,3256,3480,3632,3864,4075,4359,4308,4229,4287,4473,5302,5899,6107,6333,6296,6096,5830,5715,5579,5318,5626,6059,6004,5964,5079,4627,4211,4440,4688,4594,4865,4953,5021,5160,5063,4854,4936,4980,5115,5278,5618,5543,5997,6290,6159,6126,6282,6236,6337,6610,6755,6859,7041,6975,7426,7606,7455,7321,7709,8497,8375,8721,8609,8728,9174,9496,10318,10631,10802.5,11137,11679,13172,14061,14695,15694,16329,16602,17211,18751,19557,20102,20834,20725.5,22977,23279,23746,24650,25107,26196,26684,27599,28430,28431,29396,29532,29790,31976,31215,32256,31761,31331,32140,31848,31512,30882,30497,29681,29363,29704,29789,28776,27425,25871,25571,25640,24499,23563,24081,24108,23337,23702,22825,22062,21498,21225,20690,20502,20960,20668,20357,20533,19407,20189,20551,20031,20371,19753,20279,20189,20505,20337,19234,19058,19044,18611,18709,19341,18902,19256,18594,19900,19077,19388,19300,19394,20122,19307,19595,20000,21171,19458,19380,19052,19292,17906,18156,17696,19290,20227,20746,21903,21549,21758,21722,23950,24218,24399,25395,25090,26544,27534,28362,28194,28406,28460,30510,31438,32870,32184,32945,33682,34053,35995,34533,32682,32526,32788,33941,33864,31631,34128,34264,37904,37975,39161,39845,40970,44448,49511,54301,54372,55399,56317,58388,57672,58625,56780,56105,54591,55651
US Texas,28995881,676587,149775,516.5388835745,0.1309661635,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,10,12,13,21,23,39,51,56,57,63,81,140,189,296,324,340,397,953,1373,1692,2001,2496,2820,3202,3914,4526,5136,5806,6478,6924,7852,8379,8834,9940,10509,10932,11029,11358,11495,11786,12041,12150,12111,12182,11934,11716,11714,11135,11212,11147,11391,11547,11562,11632,11858,12262,12625,12874,13173,13353,13446,13803,14087,14238,14572,14877,15349,15764,15969,16477,16236,16361,16543,16901,16878,16840,16649,16479,16102,15512,15518,15925,15808,15339,16503,16187,16656,16948,17652,18164,19044,19630,19645,20693,21836,21807,22674,23673,23567,24228,26638,28064,29931,31692,34182,36623,39265,43117,46164,50334,53944,57360,60874,63903,66780,71727,76126,80227,84055,83638,85676,90215,94643,98429,102487,107091,109930,111302,115072,114303,116679,124040,125940,129791,131877,131154,131054,130779,129715,125384,122998,121610,119207,120942,119451,113374,112755,111219.5,109580,109442,108269,106360,104698,105637,104706,104894,106355,103513,101468,99647,98353,99332.5,100936,99051,97369,95074,93056,91656,91175,89567,86110,85317,84162,81175,77692,74772,70019,67101,64411,62788,63249,62176,60773,59986,55061,53654,52072,51588,51059,49080,50476,51413,53105,53472,51412,50753,50224,58017,74416,73808,74110,75196,75849,75698,76298,74538,74195,73682,73763,76942,77360,70916,57228,57957,57875,57278,56622,57346,55383,57131,56115,57307,59674,57553,57885,56370,60122,61253,63306,65742,68011,69897,71949,73952,74912,77012,77773,80033,81076,83584,83216,87591,89894,90967,92478,93859,95944,99863,105386,107021,111532,113564,115866,118632,122740,121983,125889,130159,134975,138041,137960,141141,145600,149775
US Utah,3205958,212818,40263,1255.8804575731,0.2189372601,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,17,28,39,51,63,78,112,135,180,256,297,344,398,474,585,691,767,836,949,996,1134,1292,1424,1418,1439,1500,1574,1622,1604,1584,1557,1525,1530,1609,1559,1503,1464,1538,1558,1599,1636,1680,1742,1820,1870,1931,1953,1989,2023,2050,2106,2104,2153,2150,2112,2137,2155,2128,2129,2089,2125,2077,2085,2087,2063,2067,2069,2115,2150,2138,2157,2141,2159,2188,2086,2172,2351,2465,2559,2615,2684,2787,2939,3195,3538,3674,3801,3939,4158,4331,4313,4448,4516,4609,4735,4847,5026,5173,5270,5396,5584,5741,5920,6122,6473,6647,6787,7056,7280,7372,7431,7441,7474,7490,7563,7733,7971,7982,8173,8227,8384,8366,8261,8175,8575,8706,8790,9165,9057,8979,8823,8743,8739,8768,8489,8379,8377,8303,7851,7624,7370,7058,7003,6895,6750,6816,6413,6128,6154,5981,5897,5896,5728,5780,5619,5477,5365,5250,5193,5067,5070,5063,4988,4974,5015,5084,5133,4972,5085,5202,5213,5246,5301,5344,5394,5458,5545,5669,5592,5499,5462,5727,5841,6021,6331,6597,6925,7332,7936,8580,9112,9361,9685,10248,11100,11855,12300,12740,13004,13136,13295,13392,13382,13373,13846,14329,14395,14525,14828,14760,15097,15229,15390,15683,15921,16411,16800,17072,16776,16839,17204,17560,17602,18219,18473,19038,19251,19409,19840,20179,20975,21359,22116,22144,22732,23479,24743,25770,27118,27739,28785,30157,30917,32999,32857,36485,37298,38073,39582,40543,41704,43305,43744,44555,44552,44736,44182,40263
US Vermont,623989,23871,1176,188.4648607588,0.3072903057,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,8,12,17,19,21,28,42,50,74,92,118,152,176,203,222,244,276,301,338,362,416,460,467,478,483,471,495,500,499,498,468,450,420,402,342,301,274,245,220,200,154,130,119,101,101,94,87,87,83,83,84,86,81,83,82,75,74,71.5,65,65,64,52,47,44,41,38,37,34,34,34,28,29.5,35,38,41,43,43,37,39,39,42,42,76,75,92,107,113,117,124,136,144,148,146,145,143,140,109,117,101,96,88,80,89,81,79,75,75,80,78,80,92,92,91,90,88,90,72,81,79,83,94,93,96,108,98,98,100,101,109,112,115.5,105,108,113,104,101,100,88,82,80,83,76,67,65,64.5,68,63,58,59,60,67,72,77,87,88,89,100,99,97,92,93,99,98,104,100,99,102,88,96,101,97,105,104,102.5,101,94,91,85,82,79,75,79,72,68,72,67,66.5,65.5,64,63,67,68,67,66,63,63,62,58,49,47,48.5,50,62,68,70,98,100,105,114,115,118,126,131,137,137,148,147,148,152,129,135,144,149,170,186,205,207,227,231,238,240,253,259,273,281,296,316,310,304,319,332,349,415,510,588,664,693,789,867,894,1007,1133,1199,1237,1299,1300,1292,1176
US Virgin Islands,104425,350,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,0,0,1,1.3333333333,1.6666666667,2,2.2,2.4,2.6,2.8,3,3.0909090909,3.1818181818,3.2727272727,3.3636363636,3.4545454545,2.5454545455,2.3030303031,2.0606060606,1.8181818182,1.7090909091,1.6,1.5111111111,1.4222222222,1.3333333333,1.3535353535,1.3737373738,1.393939394,1.4141414142,1.4343434344,1.4545454545,1.3758314856,1.2971175166,1.2184035477,1.1396895787,1.0609756098,0.9620596206,0.8631436315,0.7642276423,0.6653116532,0.5663956639,0.4674796748,0.3685636856,0.2696476965,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317074,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.1707317073,0.3123827392,0.4540337711,0.595684803,0.7373358349,0.8789868668,1.0206378987,1.1622889306,1.3039399625,1.4455909944,1.5872420263,1.7288930582,1.8705440901,2.012195122,5.3333333333,8.5128205129,11.6923076923,12.7884615385,13.8846153846,14.9807692308,16.0769230769,18.9230769231,21.7692307692,24.6153846154,30.4615384615,36.3076923077,39.3538461538,42.4,42.2666666667,42.1333333333,42,41.125,40.25,39.375,38.5,35.875,33.25,30.625,25,19.6,17,14.4,11.8,9.2,6.2857142857,6.1964285714,6.1071428571,6.0178571429,5.9285714286,5.8392857143,5.75,5.375,5,4.4,3.8,3.2,2.6,2,1.7142857143,1.4285714286,1.1428571429,0.8571428571,0.5714285714,0.2857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US Virgin Islands,104425,350,99,94.804883888,0.0650887574,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,11.5,17,17.5,18,18.5,19,22,23,29,29,30,30,35,34,30.5,26,26.5,27,27.5,31,29,28.2857142857,21.5714285714,20.8571428571,20.1428571429,19.4285714286,14.7142857143,13,11.3333333333,10.6666666667,10,9.25,8.5,4.75,4,5.7142857143,7.4285714286,8.6428571429,9.8571428571,13.5714285714,13.5357142857,13.5,13.4166666667,13.3333333333,13.25,13.25,13.25,13.25,13.5,12,10.0454545455,8.5909090909,7.1363636364,3.1818181818,2.9772727273,2.7727272727,2.5681818182,2.3636363636,2.1590909091,1.9545454545,1.75,1.5454545455,1.0909090909,0.6363636364,0.6363636363,0.6363636364,0.6363636363,0.6363636364,0.6363636363,0.6363636364,0.6363636363,0.6363636364,0.9242424242,1.2121212122,1.5,1.6212121212,1.7424242424,1.8636363636,1.9848484849,2.106060606,2.2272727273,2.3818181818,2.5363636364,2.6909090909,2.8454545455,3,2.9166666667,2.8333333333,2.75,2.8333333333,3.6666666667,4.5,5,5.5,6,7.8,8.6,9.15,9.7,10.25,10.75,16.5,18.25,24,36,35.5,35.3333333333,38.6666666667,44,64,72,85.25,98.5,122.75,140.5,153,157,165,172,185.5,192,192,198,192,191,185,180,158,150.5,142,146.5,143,138,133,135,155,161,165,178,176,186,197.5,201,254,286.5,298,313,311,321,333,347,368,410,432,425,422.5,422,391,370,371,384,388,374,343,315,275,218,207,209,206,193,164,145,126,93,91,87,86,89,94,92,88.5,88,82.5,85,84,93,95,95.5,97,96.5,93,88.5,85,84,71,58,49.5,45.5,43,32,28,18,8,8.5,9,7.5,4,3,5.5,8,13.6666666667,14.8333333333,16,21,22,22.1666666667,22.3333333333,22,24,25,30.5,33,44,42,42.3333333333,48.6666666667,51,46,44,50.8333333333,57.6666666667,59.5,59,63,64.5,66,58,62.3333333333,66.6666666667,65,75,80,92,93.5,99,98,97,105,99
US Virginia,8535519,102279,30873,361.7003254284,0.1348754915,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,9,17,30,37.5,44,50,66,76,92,112,150,216,248,282,382,443,574,701.5,845,969,1183,1407,1612,1898,2255,2418,2624,3043,3254,3582,3905,4338,4384,4727,4921,5016,5183,5479,5646,5900,6112,6297,6621,6956,7085,7289,7696,7788,8168,8461,8957,9410,9678,10134,10502,10626,10647,10572,10748,10830,11111,11535,11461,11785,11967,11771,11952,11717,11648,11889,11995,12567,12608,12553,12163,12657,13542,13503,13588,13861,13928,14219,14258,14094,13997,13719,13582,13648,14437,13524,12396,11928,11246,10678,10258,9899,9488,9092,8870,8382,8261,8046,7313,7214,7256,7337,7299,7359,7378,7230,7303,7456,7428,7497,7600,7666,7754,7637,7746,7861,8042,8361,8535,8934,9453,9656,10324,10696,11040,11264,11682,12273,12631,13018,13249,13433,13827,13897,14430,14551,14466,14473,14455,14428,14352,14731,14880,14656,14630,15518,15580,15519,14677,14751,14528,14718,14950,14949,14905,14315,14031,13970,14015,12978,12883,12880,12881,12890,12937,12903,12754,13059,13060,13173,13333,13523,13786,13919,13655,13960,13941,13772,13831,14000,14048,14131,14067,13977,13899,13817,13792,13923,13928,13585,13567,13603,13301,12967,12793,12468,12330,12022,12002,11912,11261,10985,11148,11359,11419,11172,11101,12043,12216,12497,12572,12977,13289,13339,14220,14437,14435,14268,14271,14572,15081,14569,14635,14467,14655,14705,14604,15144,15242,15515,15952,16254,16590,16925,17064,17098,17486,18501,18804,19202,19503,19752,19844,19623,19609,19568,21219,22083,22997,23585,24561,24806,25621,27561,28670,29794,30873
US Washington,7614893,172119,32222.5,423.1510541251,0.2093648071,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-4,13,26,54,76,112,159,192,229,286,343,451,582,757,971,1123,1225,1513,1756,2007,2289,2553,2709,2834,3236,3564,3870,4126,4373,4505,4639,4902,5103,5264,5328,5440,5453,5438,5369,5344,5249,5177,5022,4889,4736,4544,4381,4259,4171,4107,4075,4000,3940,3797,3735,3646,3687,3698,3722,3720,3713,3713,3652,3618,3555,3543,3595,3583,3589,3580,3483,3445,3394,3321,3276,3256,3279,3225,3231,3211,3144,3184,3163,3194,3254,3275,3314,3167,3315,3358,3387,3469,3499,3535,3626,3743,3858,3892,3972,3985,3994,4355,4365,4382,4482,4525,4570,4606,4713,4792,4870,5077,5201,5353,5432,5641,5849,6156,6416,6648,6944,7072,7539,7947,8364,8696,8622,8539,8643,8893,9324,9609,9791,10012,10049,10119,10205,10251,10335,10291,10726,11019,11060,11081,11118,11174,11203,11155,11111,11098,11001,10962,10875,10783,10592,10478,10372,10222,9977,9686,9521,9387,9271,9145,8975,8749,8475,8348,8284,8219,8141,7941,7700,7538,7275,7057,6875,6741,5960,5289,4700,4550,4469,4722,5591,5108.5,4668,4409,4404,4442,4737,5177,5554,5929,6304,6306,6308,6175,5506,5660.5,5830,5873,5821,5746,5565.5,5363,5313,5571,5438.5,5235,5227,5750,6004,6131,6173,6230,6324,6514,6909.5,7220,7326,7083,7215.5,7506,7680,7334,7205,7636,8137,8100,7987,8069,8084,8782,8557,8385,8487,8666,8607,8785,9878,9301.5,8725,8885,9234,9372,9679,9300,9884,10693,10861,11606,12025,12896,13098,14124.5,15070,15984,16940.5,17799,18925,20230,21725,22178,24110,23944,24861,25302,25249,27067.5,28967,31008,32222.5
US West Virginia,1792147,62259,13283,741.1780395247,0.3006564056,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,12,16,20,39,51,76,96,113,125,161,190,215,230,271,312,329,392,423,472,478,481,498,500,478,511,522,517,503,539,557,502,477,444,434,443,433,437,439,393,379,382,384,328,304,324,309,320,322,315,316,303,292,303,309,305,288,299,285,271,297,306,306,382,399,408,483,469,479,510,517,520,526,532,526,499,503,414,385,379,315,321,306,282,285,279,281,300,305,326,316,355,399,399,413,441,449,479,502,528,572,564,556,635,691,655,719,890,879,1078,1165,1271,1313,1390,1389,1502,1625,1604,1657,1753,1780,1700,1738,1499,1724,1712,1747,1753,1795,1766,1769,1765,1859,1841,1812,1831,1852,1953,1727,1738,1742,1734,1700,1702,1682,1729,1632,1722,1710,1659,1680,1642,1705,1633,1622,1578,1558,1520,1532,1482,1550,1510,1546,1618,1776,1841,1863,1971,2104,2140,2263,2266,2268,2384,2350,2554,2589,2570,2469,2554,2585,2646,2585,2642,2596,2723,2696,2689,2779,2637,2649,2692,2716,2652,2594,2624,2594,2574,2571,2552,2635,2619,2754,2755,2780,2769,2863,2970,3058,3273,3333,3453,3551,3583,3595,3732,3685,3799,3778,3942,4151,4246,4384,4410,4659,4802,4942,5074,5253,5490,5695,6030,6498,6582,6610,7137,7431,7649,8332,8776,9225,9731,10290,10852,11393,11856,12074,12309,12767,12849,13283
US Wisconsin,5822434,140268,88532,1520.5324783415,0.2223841006,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,9,23,30,37,56,83,120,173,232,311,421,461,520,660,797,946,1104,1239,1366,1502,1700,1866,2028,2161,2218,2400,2539,2612,2637,2696,2688,2688,2658,2661,2632,2596,2576,2537,2533,2487,2445,2487,2568,2699,2893,2999,3081,3145,3207,3416,3711,3907,4051,4185,4387,4496,4610,4666,4687,4731,4759,4740,4789,4817,4794,4958,5030,4904,4796,5007,5171,5310,5441,5559,5651,5736,6064,6208,6499,6504,6307,6294,6463,6392,6401,6259,6094,5959,5863,5867,5557,5364,4952,4707,4776,4810,4689,4468,4397,4314,4389,4403,4444,4441,4571,4664,4873,5138,5367,5487,5818,6096,6219,6518,6881,7125,7352,7590,7769,8105,8431,8853,9170,9349,9687,9972,10330,10637,10892,11208,11445,12071,12173,12459,12628,12635,12803,12899,12715,12791,12940,12866,12959,13042,12726,12335,12527,12316,12301,12498,12155,12075,12059,11666,11543,11747,11489,11256,11314,11253,11024,10918,10723,10513,10370,10263,10183,10438,10382,10187,10183,10054,9853,10180,10048,10019,10713,10737,11148,11309,11371,11498,12178,12757,13325,14379,14929,15334,16258,17652,18690,20094,20939,21660,22650,23632,24518,25704,27176,27799,28720,29726,30683,31549,31794,32445,32636,33067,33403,33971,34767,35302,35371,35837,36114,37095,37959,38999,40279,39863.3333333333,40575.6666666667,41487,44098,45998,46356,47835,49537,50602,51597,53670,54477,55583,56835,60004.6666666667,60919.3333333333,61786,63204,65096,67748,69516,72364,72993,74452,76383,79790,82867,85961,85734,88501,89634,91123,93378,94542,95208,94716,94328,93313,92629,91089,88532
US Wyoming,578759,251470,10282,1776.5598461536,0.3342544131,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,10,15,18,19,23,24,26,29,44,52,69,80,83,91,99,115,132,143,164,173,184,187,259,267,270,261,278,279,274,263,251,250,235,229,218,225,144,133,133,148,138,147,153,151,158,154,157,160,168,163,184,182,171,162,160,149,139,144,142,150,162,168,170,172,156,166,159,160,176,174,175,172,175,175,157,149,144,136,128,120,130,126,109,117,120,120,133,136,152,157,169,177,199,223,240,240,250,270,284,302,317,341,342,357,371,398,400,406,409,427,437,445,457,458,448,422,447,445,454,464,471,476,487,502,492,512,527,548,573,615,607,613,616,638,643,660,657,661,682,661,646,635,611,595,567,575,522,484,458,433,457,458,478,483,479,507,510,524,530,529,561,561,598,603,580,557,534,511,503,481,471,465,463,453,464.5,469,467,477,501,513,526,550,572,655,713,758,774,839,876.5,913,1018,1106,1156,1168,1287,1362,1383,1382,1431,1467,1585,1633,1685,1754,1730,1787,1915,1990,1978,2048,2143,2229,2292,2451,2451,2521,2682,2756,2949,3027,3210,3350,3430,3675,3842,3969,4132,4363,4482,4698,4856,5093,5196,5290,5860,5792,6269,6533,7436,7228,7972,8313,8583,8771,9026,9834,10231,10760,10724,10813,10859,11421,10717,11387,10282
