Country/Region,Population,Area,Maximum,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
US Connecticut,3565287,12542,80973,2271.1495596287,0.7418370712,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,43.5,34,209,341,598,632,843,1030,1439,1969,2457,2689,2853,3878,4240,4589,5575,6358,7238.5,8145,8774,9648,10111,11383,11900,12587,13627,14470,14840.5,15114,17320,17727,19751,20303,21047,21650,22302,22782.5,23271,23642,24481,25479,25686.5,25879,26505,27149,27466,28202,28774,29309,29861,30023,30564,31052,31638,32217,32791,33475,34152,34458,35028,35201,35602,35967,36397,36789,37206,37168,37413,37603,37836,38000,38539,38769,38872,39013,39222,39567,39708,39829,39902,40060,40163,40382,40683,40772,40915,41027,41105,41114,41222,41380,41420,41444,41561,41570,41646,41711,41858,41955,41991,42142,42192,42257,42321,42407.3333333333,42493.6666666667,42570,42627,42702,42799,42874,42948.3333333333,43022.6666666667,43092,43107,43211,43319,43461,43515,43569,43618,43659,43786,43795,44335,44404,44473,44539,44633,45090,45220,45357,45441,45525,45606,45654,45768,45787,45860,45942.3333333333,46024.6666666667,46107,46221,46243,46317,46432,46555.3333333333,46678.6666666667,46802,46789,46847,46964,47051,47215,47379,47543,47566,47746,47872,48015,48143,48271,48394,48521,48621,48721,48873,48977.25,49081.5,49182.75,49286,49374,49594,49825,50014.6666666667,50204.3333333333,50392,50526,50658,50875,51014,51179.6666666667,51345.3333333333,51507,51639,51793,51945,52057,52243.6666666667,52430.3333333333,52615,52796,53013,53202,53755,54029.3333333333,54303.6666666667,54566,54682,54797,55179,55461,55907.3333333333,56353.6666666667,56788,57102,57257,57419,58214,58611,59008,59394,59828,60226,60717,61381,62063.3333333333,62745.6666666667,63401,63930,64411,65720,66470,67353.6666666667,68237.3333333333,69099,69844.5,70589,72255,73297,74409.6666666667,75522.3333333333,76592,78106,79815,80973
US Delaware,973764,5047,26785,2750.6664859247,0.7976711635,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,12,14,21,28,37,44,63,83,96,127,171,184,211,259,301,323,374,507,583,701.5,824,950.5,1076,1179,1324,1384,1444,1569,1810,1865,2101,2195.5,2292,2490,2665,2931,3023,3145,3275,3722,3838,4241,4304,4372,4545,4655,4816,4889,4963,5364,5522,5691,5852,6016,6129,6297,6499,6764,6910,7081,7202,7398,7566,7719,7903,8044,8205,8321,8475,8574,8603,8677,8742,8927,9002,9107,9186,9210,9244,9269,9341,9438,9468,9516,9551,9599,9666,9722,9757,9833,9894,9935,9989,10099,10169,10263,10308,10333,10374,10463,10500,10574,10709,10859,10956,10989,11210,11402,11473,11605,11770,11889,11935,12002,12074,12164,12225,12300,12389,12469,12533,12752,12844,12934,13047.5,13159,13205,13337,13614,13585,13699,13815,13885,14011,14096,14195,14284,14356,14462,14544,14701,14770,14845,14902,14975,15030,15096,15229,15363,15736,15792,15847,15931,15988,16037,16112,16164,16220,16286,16333,16353,16377,16363,16470,16736,16728,16812,16917,16930,17034,17132,17271,17422,17622,17680,17758,17836,17965,18093,18216,18303,18502,18598,18682,18724,18804,18921,19022,19115,19181,19296,19434,19503,19606,19733,19872,19953,20126,20275,20461,20578,20697,20798,20880,21012,21149,21318,21449,21604,21708,21777,21871,22020,22234,22383,22486,22613,22663,22812,22971,23131,23243,23449,23527,23668,23821,24017,24215,24390,24575,24687,24792,25011,25289,25512,25855,26156,26355,26582,26785
US District of Columbia,705749,158,17830,2526.3939445894,0.8598572531,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5,7,9,10,11,8,13,20,27,56,56,76,92,115,156,199,229,257,292,348,428,514,572,671,811,902,992,1099,1313,1384,1507,1613,1697,1770,1868,1992,2126,2245,2426,2542,2669,2834,2929,3076,3224,3388,3518,3564,3658,3756,3965,4290,4422,4633,4778,4922,5054,5242,5481,5675,5845,5949,6045,6139,6283,6411,6580,6657,6802,6964,7078,7313,7418,7483,7606.5,7734,7839,7907,7990,8032,8206,8286,8342,8366,8493,8593,8669,8738,8799,8854,8937,8996,9046,9108,9161,9217,9248,9267,9294,9349,9397,9427,9461,9497,9533,9564,9591,9617,9648,9680,9724,9759,9794,9816,9858,9869,9904,9936,9989,10062,10098,10162,10220,10266,10324,10363,10442,10492,10530,10609,10675,10753,10840,10942,10984,11060,11127,11189,11267,11352,11406,11463,11532,11608,11677,11716,11799,11843,11917,11987,12049,12149,12203,12292,12354,12419,12513,12554,12614,12666,12718,12746,12800,12858,12923,12979,13028,13073,13107,13178,13235,13309,13343,13376,13433,13460,13516,13567,13619,13659,13694,13741,13766,13791,13870,13928,13968,13998,14061,14116,14162,14223,14273,14324,14347,14390,14418,14472,14529,14579,14613,14627,14663,14688,14720,14782,14832,14878,14906,15010,15055,15123,15201,15276,15342,15380,15424,15488,15521,15609,15688,15724,15748,15798,15851,15887,15957,16052,16113,16157,16249,16316,16417,16487,16608,16709,16778,16864,16936,17015,17123,17221,17331,17415,17500,17702,17830
US Florida,21477737,138887,833343,3880.0316811776,0.8800229367,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,72,124,182,223,337,513,793,909,1179,1631,2130,2741,3419,4277,5075,5907,6902,8117,9343,10464,11202,12311,13263,14240,15221,16265,17310,18112,18981,19487,20334,21509,22518,23244,23937,24570,25360,25995,27138,27825,28614,29119,29823,30117,30581,31515,32169,32792,33536,34054,34591,35167,35465,36186,36863,37231,37830,38567,39313,40050,40495,41627,42272,42814,43252,44401,45072,45777,46309,47277,47727,48164,48729,49921,50624,51488,52180,52727,53911,55132,56108,57312,58687,59704,60795,61993,63616,65209,67660,69764,71496,74129,76510,79136,82382,86366,90954,93657,97392,102815,107686,116408,125844,134153,139481,145375,151808,161094,170288,181528,191295,197440,204603,214410,223127,234241,244389,259460,271590,280582,290357,303864,314781,324776,337099,347431,356447,365886,375878,388018,399876,409045,417756,426617,435724,445410,454081,463379,470328,475055,480193,485443,492897,500320,508556,514644,518722,524301,532241,538329,546238,552379,556112,558693,562290,566240,570607,575120,579320,582286,584488,587109,589844,592860,596416,599450,601989,603829,611170,613326,616666,619673,623203,625707,627498,629196,630999,633357,636839,639900,642283,643996,646633,648746,651888,654954,658391,660846,662476,664831,667286,669593,672284,675015,676682,677363,680449,682263,684670,687182,689847,691583,692935,695050,697594,700678,703457,706088,708783,710282,712882,715624,718831,722123,726049,728495,730140,733640,735714,741136,744700,748994,751320,754598,758755,762708,766746,772055,774293,779068,783596,788063,792307,798346,803416,807754,814311,818060,822269,827839,833343
US Georgia,10617423,148959,370854,3492.8814647396,0.8959795511,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,34,35,58,124,236,306,389,543,697,885,1146,1585,1938,2218,2345,3428,4086,4761,5181,5487,5960,6581,8019,9065,9694,10591,11255,11540,12344,13197,13894,14549,16040,16495,17124,17725,18593,19429,20176,20770,21295,21996,22472,23154,24118,24628,25713,26714,26996,27726,28047,29009,29685,30321,30721,31617,32097,32764,33425,33896,34707,35144,35659,36007,36619,37524,38258,39044,39958,40658,41136,41445,42092,42695,43252,43840,44535,45124,45678,46319,47242,47985,48667,49255,49849,50561,51282,52228,53013,54025,54903,55630,56273,57203,58063,59153,60952,61841,63050,64779,66459,68165,70030,71989,74209,76391,78237,81146,84605,87361,90151,92343,93888,97216,100555,103367,107769,110906,113428,117060,120400,124192,127604,131431,136047,139283,141733,145067,148318,152562,157284,161002,163754,166614,170701,173867,177748,181779,185343,188475,190708,193154,196864,199991,204006,208335,211464,213869,217326,220842,223275,226424,229592,231426,233229,235944,238187,240873,243699,246245,247912,250209,252284,254462,256870,259126,261471,262640,264118,266299,268194,270814,272817,274949,276597,277203,278673,280514,282301,283907,285991,287368,288376,289839,292035,293840,295631,297887,298993,300147,300992,302419,303752,305166,306480,307269,307852,308852,310556,311842,313078,314471,315287,316057,316976,318438,319678,321266,322461,323600,324484,325460,326725,328318,329895,331405,332577,333311,333959,335228,336957,339151,340958,342275,343204,344642,346219,347967,349320,351834,353025,353954,355581,357387,359266,360964,362646,363880,364966,366833,368397,370854
US Guam,162742,543,5739,3526.4406238095,0.8504742146,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,10,11,23,25,28,33,41,47,50,51,53,64,72,77,79,88,107,108,116,120,123,125,128,128.0909090909,128.1818181818,128.2727272727,128.3636363636,128.4545454545,128.5454545455,128.6363636364,128.7272727273,128.8181818182,128.9090909091,129,133,135,136,136.5,137,139,140,141,142,143,145,144,145,146,146.1666666667,146.3333333333,146.5,146.6666666667,146.8333333333,147,147.5,148,149,151.2,153.4,155.6,157.8,160,160.25,160.5,160.75,161,162.5,164,165,167,167.5,168,169,170,172,173,174,174.2,174.4,174.6,174.8,175,177,178,179,180,180.3333333333,180.6666666667,181,183,188,195,217,218,219,220,226,240,243,245.3333333333,247.6666666667,250,254,262,275,281,283,289.5,296,298,302,304,305,307,307.25,307.5,307.75,308,309,309.5,310,312,314,322,325,327,332,335,338,341,344,346,349,351,362,362.5,363,370,384,391,404,405,408,411,427,440,467,492,499,506,548,564,586,691,753,778.5,804,889,965,1099,1211,1264,1322,1345,1369,1419,1465,1529,1586,1637,1651,1664,1676,1721,1808,1822,1848,1866,1881,1919,1964,1996,2024,2066,2080,2092,2135,2178,2205,2228,2295,2312,2330,2382,2427,2488,2554,2635,2660,2687,2747,2799,2865,2920,2985,3007,3095,3191,3264,3349,3459,3538,3596,3677,3806,3885,3971,4053,4086,4127,4246,4327,4375,4458,4535,4588,4596,4595,4712,4803,4903,4974,5009,5127,5367,5547,5646,5739
US Hawaii,1415872,16635,16200,1144.1712245175,0.9059895979,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,10,13,15,24,34,44,52,72,85,90,100,112,143,166,195,199,249,276,310,342,361,377,398,423,430,452,472,485,488,501,514,525,537,558,563,567,569,575,579,584,586,589,590,592,596,601,602,603,603.5,604,608,609,612,613,614,615,617,618,621,620,621,622,623,623.5,624,626,630,625,626,626.25,626.5,626.75,627,630,632,634,635,635.5,636,637,638,647,656,658,659,665,668,675,689,705,710,718,722,726,744,770,784,795,797,800,816,831,847,853,880,878,895,904,924,952,975,999,1006,1047,1069,1104,1132,1174,1194,1217,1238,1266,1285,1308,1328,1355,1367,1391,1408,1461,1518,1589,1652,1677,1719,1825,1949,2071,2157,2202,2408,2549,2718,2869,3069,3299,3451,3589,3909,4261,4372.5,4484,4763,4979,5145,5535,5769,5879,5991,6272,6515,6898,7034,7169,7472,7734,8042,8240,8373,8553,8888,9095,9353,9573,9735,9839,10036,10132,10299,10466,10591,10702,10781,10846,10944,11100,11234,11332,11406,11461,11521,11685,11774,11904,12029,12126,12213,12296,12406,12510,12603,12735,12804,12854,12935,13029,13127,13289,13357,13458,13500,13558,13659,13747,13831,13924,14006,14043,14131,14208,14310,14450,14538,14656,14693,14756,14817,14894,14994,15062,15145,15222,15308,15463,15561,15692,15818,15946,16009,16085,16200
US Idaho,1787065,214045,76226,4265.4296290286,0.7898821798,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,21,32,37,37,58,105,165,205,234,283,382,486,628,850,970,1033,1056,1122,1159,1178,1299,1342,1351,1370,1395,1404,1527,1546,1592,1605,1608,1672,1701,1736,1769,1803,1820,1830,1847,1883,1915,1943,1962,1988,2010.5,2032,2050,2081,2101,2126,2151,2166,2181,2212,2242,2269,2307,2337,2355,2372,2393,2423,2451,2512,2543,2567.3333333333,2591.6666666667,2614,2646,2683,2716,2752,2785.5,2818,2845,2902,2965,3022,3050,3075,3100,3131,3170,3212,3263,3308,3339.5,3371,3448,3540,3651,3778,3913,4037,4160,4308,4547,4765,5047,5217,5433.5,5650,6014,6260,6479,6876,7251,7614,7930,8413,8834,9290,9784,10359,10756,11250,11558,12272,12956,13563,14105,14676,15066,15612,16105,16513,17035,17592,17940,18455,18976,19433,19995,20456,20845,21075,21402,21952,22416,23101,23618,24189,24364,24786,25269,25796,26288,26820,27119,27301,27581,27958,28324,28748,28987,29278,29468,29685,30086,30374,30715,30972,31262,31452,31669,31945,32235,32493,32758,33036,33224,33294,33530,33856,34160,34492,34707,34819,35072,35346,35624,36017,36485,36767,37009,37414,37855,38243,38731,39251,39789,39994,40413,40922,41532,42044,42715,43173,43436,43891,44547,45207,45873,46526,47129,47493,48083,48662,49293,49995,51078,51953,52462,53158,54016,54986,55929,56994,58011,58658,59343,60209,61052,61997,63058,63849,64329,65082,66226,67502,68744,70064,71465,72112,73361,74554,76226
US Illinois,12671821,143793,523946,4134.7332794553,0.7511889076,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.5,0,0,0,3,3,0,0,0,0,20,60,147,265,375,510,775,966,1155,1403,2010,2430,2814,3876,4263,5126,6032,6623,7770,9098,9966,10913,12081,13513,14734,16092,17306,18919,20042,21122,22378,23378,25118,26601,27739,28846,30221,32134,33823,36417,38428,40497,42424,44501,46563,48990,51997,54376,57322,59606,61583,63707,66266,69045,71295,72885,74123,78098,79615,82751,85099,87127,88801,91073,92505,94797,96950,99649,101932,104400,105915,106999,108033,109470,111014,112447,113771,114727,116269,117164,118041,119197,120061,120906,122264,123025,123587,124313,125011,125658,126315,126774,127376,127894,128451,129255,129880,130532,130988,131552,132231,133105,133999,134761,135388,136120,136819,137639,138483,139407,140251,140885,141493,142057,143014,144012,145322,146505,147458,148323,149000,150171,151412,152817,154085,155036,156200,157136,158706,160309,161877,163285,164821,166051,167107,168485,170233,172186,173820,175269,176555,178000,179735,181661,183742,185915,187291,188602,190122,191730,193541,195817,197634,199185,200951,202653,204921,206729,208984,211317,213205,214809,216482,218611,220290,222680,224538,226516,228179,229653,231746,233081,238652,241433,242822,244196,245559,246874,248797,251076,253172,254621,255981,257424,259330,261362,263533,266031,267416,268879,270379,272185,274410,277183,279594,281189,282885,284218,286443,288556,290960,293375,294806,296637,298213,300775,303792,306868,309710,312413,315138,317943,320754,324713,329767,333340,337560,340655,344301,348588,353433,358349,364419,368431,373135,377053,383010,389325,397769,405471,412377,418557,424960,432347,442102,453745,466026,475936,486448,498921,511400,523946
US Indiana,6732219,92789,225404,3348.1382587227,0.7068304829,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,74,120,192,274,400,681,902,1171,1436,1771,2129,2562,2918,3408,3849,4375,4877,5282,5645,6166,6650,7115,7392,7626,7890,8428,8979,9412,9964,10422,10771,11061,11625,12233,12905,13504,14421,15010,15563,16189,16939,17554,18182,18742,19209,20006,20590,21205,21789,22150,22651,23123,23443,23985,24545,25155,25644,26113,26508,27067,27705,28151,28609,29073,29399,29739,30082,30688,31162,31798,32152,32397,32790,33237,33605,34062,34461,34857,35070,35464,35759,36162,36551,36927,37290,37806,38146,38363,38776,39065,39374,39730,39935,40154,40408,40916,41392,41819,42170,42466,42819,43167,43592,44112,44612,45186,45506,45780,46200,46695,47416,48184,48709,49131,49761,50438,51134,51848,52683,53596,54226,54920,55666,56589,57575,58484,59331,59863,60609,61213,62148,63041,63994,64724,65298,66090,66795,67824,69046,70069,71108,71767,72621,73263,74299,75355,76391,77124,77710,78535,79011,79945,80967,81955,82568,84224,85041,85962,87094,87893,88997,89875,90757,91431,92278,93376,94389,95458,96298,96882,97260,97955,98695,99939,100984,102224,102949,103617,104177,105001,106027,107090,107831,108346,108915,109610,110494,111646,112767,113661,114527,115244,116183,117312,118753,120141,121209,122016,122938,124204,125612,127401,129293,130851,132412,133910,135042,136952,139209,141645,143218,144776,146225,147932,150735,153166,155862,157978,159917,161833,164350,167917,171030,174470,177198,180249,183041,186680,191033,195617,200476,205069,209177,213903,218876,225404
US Iowa,3155070,144669,153291,4858.5609827991,0.7777873619,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,13,13,14,14,16,16,20,27,34,54,68,80,98,118,150,204,264,295,381,448,496,554,635,712,793,867,965,1055,1174,1281,1398,1469,1583,1763,1847,1979,2162,2338,2718,2971,3434,3529,3693,4202,4840,5211,5597,6087,6537,6827,7548,8295,8818,9348,9739,10016,10653,11032,11227,11505,11914,12434,12798,13171,13527,13797,14117,14404,14788,15040,15590,15912,16295,16648,16965,17079,17730,17934,18283,18594,18900,19042,19347,19382,20126,20471,20797,20982,21301,21548,21859,22243,22633,23013,23221,23345,23464,23744,24136,24555,24775,25242,25328,25648,25970,26458,26943,27264,27739,28028,28250,28689,29431,29645,30254,30559,30860,31227,31701,32422,33161,33821,34244,34696,35010,35445,36275,36855,37035,37847,38284,38586,38894,39726,40358,40746,41270,41621,41837,42326,43079,43616,44003,44517,44860,45053,45653,46347,46844,47252,47753,48027,48277,48739,49253,49837,50685,51315,51606,51828,52162,52880,53865,54574,55110,55465,56114,57041,58579,59760,60532,61502,62104,62685,63408,64272,65354,66378,67026,67410,67853,68209,69103,69826,70395,71176,71556,71949,72736,73668,74839,75681,76297,76950,77487,78508,79650,80608,81489,82176,82530,82991,84099,85128,86036,86943,87568,87922,88379,89300,90544,91567,92640,93712,94161,94677,95702,97024,98240,99387,100243,100776,101248,102403,103823,105056,106685,107815,108555,109387,111143,113052,115237,117783,119982,121381,122437,124674,128626,131377,135068,138349,142716,145430,149682,153291
US Kansas,2913314,211754,110863,3805.3913858925,0.7501031821,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,6,21,27,34,42,57,71,88,126,152,206,263,306,359,406,472,536,612,655,745,793,936,994,1055,1151,1219,1256,1302,1369,1459,1575,1659,1715,1850,1888,2067,2335,2625,2899,3017,3170,3333,3574,4074,4277,4574,4858,5072,5285,5556,5966,6316,6566,6763,6928,7104,7263,7472,7678,7829.3333333333,7980.6666666667,8123,8222.5,8317,8526.5,8726,8812.6666666667,8899.3333333333,8982,9041.5,9097,9288,9476,9573.3333333333,9670.6666666667,9766,9845.5,9923,10034.5,10139,10224.6666666667,10310.3333333333,10391,10472,10551,10668.5,10783,10907,11031,11149,11280,11409,11598,11782,11917.3333333333,12052.6666666667,12185,12437.5,12688,12972,13254,13555.6666666667,13857.3333333333,14155,14428.5,14691,15155.5,15620,15947.3333333333,16274.6666666667,16594,16952.5,17310,17806.5,18285,18767.3333333333,19249.6666666667,19723,20160.5,20584,21100,21607,22063.3333333333,22519.6666666667,22969,23354,23736,24238.5,24729,25083.3333333333,25437.6666666667,25785,26134,26475,26946,27410,27764.6666666667,28119.3333333333,28471,28891.5,29306,29766.5,30219,30583,30947,31304,31712.5,32110,32779,33442,33869.3333333333,34296.6666666667,34721,35082.5,35432,35915,36375,36890,37405,37916,38684,39442,39997.5,40537,41058.3333333333,41579.6666666667,42078,42742,43354,43994,44624,45188.6666666667,45753.3333333333,46314,46562,46789,47277,47754,48258.3333333333,48762.6666666667,49262,49747.5,50192,50899.5,51587,52145,52703,53253,53886.5,54503,55186,55829,56508,57187,57858,58418,58911,59592,60252,60784.3333333333,61316.6666666667,61836,62458,63000,63927.5,64832,65517,66202,66886,67532.5,68148,68998,69826,70530.3333333333,71234.6666666667,71922,72666,73369,74256,75064,75879.3333333333,76694.6666666667,77495,79179.5,80830,82398,83925,85273.6666666667,86622.3333333333,87961,89455,90889,93598,96223,98196.3333333333,100169.6666666667,102097,104933,107722,110863
